web-scraper-order,web-scraper-start-url,nama,komentar
"1583431904-1898","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","fitriana w kezhia",""
"1583431904-4700","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Secara de facto, memang Indonesia sudah merdeka , Bangsa kita memang sudah tidak terjajah seperti zaman dulu. Tidak lagi kita temui kerja paksa (romusha), sistem tanam paksa, perbudakan, dan banyak hal yang mengkerangkeng hak-hak masyarakat Indonesia. Tapi kenyataan yang sebenarnya terjadi kita masi...Ulasan Lengkap"
"1583431904-6212","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Jaringan gak bisa ngikutin instruksi costumer servis harus logout trs login. Malah akun costumer yg di bekukan. Saat OTP saya yg dicuri bilang salah costumer. Terus aja Costumer yg disalahin"
"1583431904-3879","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Pengguna Google",""
"1583431904-5645","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Tadi saya topup Mobile Legend di dalam game menggunakan GoPay saya,trus kan hari ini lagi ada event cashback 2kali perhari,tadi saya hanya mendapatkan cashback sekali padahal sudah topup 2 kali tolong kirimkan Saldo GoPay saya kembali 15.000, Terimakasih dan tadi saya sudah menghubungkan Customer Se...Ulasan Lengkap"
"1583431904-3695","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","putry bae",""
"1583431904-4295","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","maaf utk saat ini UNINSTAL GOJEK krna sistem semakin buruk,order apapun dptnya jauh² drivernya..mau prgi kmn2 srg telat krna driver sllu dikasih yg jaraknya lbh jauh (pdhl yg dekat byk)! promopun smakin jrg ada. aplikasi anak bangsa tp penggunanya semua dibuat kecewa.. silahkan bs baca ulasan dr pen...Ulasan Lengkap"
"1583431904-2581","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Bendot Eep",""
"1583431904-7129","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","upgrade gopay susah ditolak terus,kek nembak cewek aja"
"1583431904-1890","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Erisyatama Oktasyahputra Farisyayoprima",""
"1583431904-6113","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Kalau mesen dapet drivernya yg jauh mulu padahal depan muka ada yg lg pada on. Mungkin ini yg dikeluhkan driver2 yg katanya driver prioritas. Bener2 sistemnya kok jadi gak adil ky gini?"
"1583431904-5532","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Punya mitra tapi ga di edukasi dengan benar, ada temen pake gosend kirim ke alamat ane, attitudenya kaya sampah. alamat sudah jelas, driver malah bilang nyasar muter2 2jam dari jam 10.. order aplikasi dari jam 10.30 padahal. Klo bohong itu yg pinteran dikit, gatau alamat.. bukane sudah ada gugle map...Ulasan Lengkap"
"1583431904-4597","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Fitur gofood makin nggak jelas habis di upgrade, tadinya bisa enak cari referensi terdekat, promosi, dll sekarang cuma resto2 yg punya nama aja yg keliatan, resto2 kecil harus search dulu. Katanya misinya untuk mempermudah, membantu umkm maju, kok jd gini"
"1583431904-1798","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Alicia AB",""
"1583431904-7660","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aseeemmm...bikin promo gak niat!!!!!"
"1583431904-3640","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Kachjimmy Yusuke",""
"1583431904-3701","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Mr. Khamid Channel",""
"1583431904-7672","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","BERTOBATLAH KALIAN WAHAI PARA PEDAGANG GOFOOD YG NAKAL... UANG DAN BISNIS KALIAN TIDAK AKAN BERKAH JIKA MENIPU... JGN KARNA PEMBELI TIDAK DI TEMPAT KALIAN SEENAKNYA NGASI MAKANAN KE PELANGGAN KAYAK SAMPAH... TOBATLAH!!!"
