web-scraper-order,web-scraper-start-url,nama,komentar
"1583432296-12413","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Udah hampir sebulan peta nyah eror dan berpengaruh pada pembyran nya.. biasa 9000 jadi dua puluh satu ribu... padahl jarak dekat... tolong donk min respon Saya dari cilegon banten."
"1583432296-13347","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasinya sangat bagud sekali dan juga mapnya sesuai dengan tempat saya berada aplikasi buatan anak negri memang jauh lebih bagus"
"1583432296-12462","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Mantab ada payLater nya sekarang , lumayan lah buat tanggal tua wkwk"
"1583432296-12723","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Puas banget dengan pelayanannya. Top lah pokoknya"
"1583432296-12891","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Isdhebst gojek slalu dhati org Indonesia... Tetap jaya aplikasi GO-JEK.. 👍👍👍👍"
"1583432296-13535","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Pokoknya mantap lah, hidup ada trbantunya dari aplikasi ini, terutama go clean"
"1583432296-11372","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Alfi Fahriyyah",""
"1583432296-11787","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Kemarin akun tiba2 log out sendiri. Pas mau login dan udah dapet kode otentikasi gagal login terus tulisannya ""server padat merayap"". Sekarang malah abis masukin nomer aja udah ditolak. Parah"
"1583432296-12737","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","saya sebagai Costumer setia gojek... coba untuk anda yg bekerja duduk santai memandang layar kaca tidak kepanasan tidak kehujanan saat bekerja... tolong liat lagi nasib driver di jalan tolong sejahterakan mereka terimakasih"
"1583432296-10752","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Bunda.ary18 Aryanti",""
"1583432296-11084","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","DRB Farm's KEDUNGADEM",""
"1583432296-9113","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Zein Muchsin",""
"1583432296-10049","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","dragon sniper",""
"1583432296-8490","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Anyeh Lisna aldi",""
"1583432296-14322","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu kalau sedang buru buru bisa di andalkan"
"1583432296-8659","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Pengguna Google",""
"1583432296-13210","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Tolong PT GI perbaiki lagi akun pelanggan jangan cuman pindah2 hp itu akunnya pelanggan TDK bisa dipakai makanya pelanggan malas ngorder akhir kita sebagai driver stengah mati dapat orderan Masukan saya pak jangan di banned akun pelanggan apabila itu real dan berpindah hp akunnya.. Krna dampaknya or...Ulasan Lengkap"
"1583432296-14019","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi yg sangat membantu masyarakat:) Trimakasih..."
"1583432296-14002","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","saya suka dngn apl ini sangat membantu"
"1583432296-11215","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Pudja Rosandi",""
"1583432296-10672","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ade Nainggolan",""
"1583432296-8352","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Isra Irayadi",""
"1583432296-12542","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Enak pakai gojek,kita terjamid sampai tujuan.. Kalau maxsim,jemput lama,kadang teman saya di turunin di tepi jalan Garah2 orderan gojek nya masuk.. Mulai sekarang pakai gojek aja selama nya.. Sukses selalu gojek."
"1583432296-11070","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","harry pradana",""
"1583432296-10403","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","CAH ORA GENAH",""
"1583432296-9916","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Nia Taufiq",""
"1583432296-14856","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sejak ada Gojek..Hidup saya jd lbh mudah..Mantap Gojek.."
"1583432296-12800","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Thanks . Berkat adanya gofood mkn pun tenang . Tinggal klik . Bayar . Mkan dah 🤣"
"1583432296-11349","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Fatwa Ruslan",""
"1583432296-11400","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Yanti Fitri",""
"1583432296-9662","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Emmanuel Nimrod",""
"1583432296-12670","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi ini benar benar membantu saya untuk berpergian jauh ,,apalagi dengan keadaan saya yang tidak bisa mengendarai sepeda motor dan menyetir mobil"
"1583432296-10816","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","rusdi rusdi",""
"1583432296-14000","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu saya kemana mana."
"1583432296-13923","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gagal terus ugrade gopay padahal udah benar tidak Buram dan tidak setengah gambar, kenapa gagal terus"
"1583432296-12187","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Ketika saya berangkat kerja naik kendaraan umum terjebak macet, sedangkan waktu sudah mepet, saya akhirnya saya pindah ke goride, begitu juga ketika saya pulkam kehabisan pulsa hp & listrik, sedangkan waktu tengah malam, ATM & toko sebagian sudah pada tutup, akhirnya saya beli pulsa lewat aplikasi i...Ulasan Lengkap"
"1583432296-11674","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","crystian ayonge",""
"1583432296-10922","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Nia Nurniati",""
"1583432296-9718","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Amon Colli",""
"1583432296-14611","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Selama ini kesibukan sehari hari merasa terbantu good lah"
"1583432296-12015","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","gojek memang membantu aktifitas dan menolong karena ongkos sangat ringan terimakasih gojek saya doakan tetap berjalan lancar atas rindo Alloh SWT amin ya rob.....!!!"
"1583432296-9116","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Hartono Htn",""
"1583432296-15111","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu sekali untuk segala kebutuhan hidup."
"1583432296-13487","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Terima kasih Gojek telah membantu saya selama ini dengan driver yang ramah2 dan profesional."
"1583432296-12421","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Bangga punya aplikasi karya anak bangsa yang dapat memudah kita dalam kehidupan sehari hari serta ditambah lagi fitur asuransi untuk smarthphone kita jadi makin memiliki fitur yang unik dan berbeda"
"1583432296-9850","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","UMMU HANIK",""
"1583432296-14434","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu untuk perjalanan berangkat kerja pagi."
"1583432296-10954","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Rindi Ummu Zayd",""
